buffer,resolution,realised_deg,signal,n_cells,freq,variant,period,lag,lag_kind,n,block,r,p_naive,n_eff_first,p_eff_first,n_eff_nw,p_eff_nw,boot_lo,boot_hi,p_perm,p_fdr,fdr_reject,verdict
0.25,native,0.0546,footprint,448,W,level,52,0,lag0,377,7,-0.0314,0.5427928009785998,298.4,0.5885179746745903,288.2,0.5950362253439094,-0.1423,0.0653,0.6152769446110777,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,W,level,52,-8,peak,369,7,-0.0696,0.18199186999719483,267.6,0.25629831490157007,264.3,0.2592962761063673,-0.188,0.0305,0.26494701059788045,0.40372877805391305,False,ns
0.25,native,0.0546,footprint,448,W,intensity-model,52,0,lag0,377,7,0.061,0.2372050822743156,304.8,0.28824707758716106,300.6,0.29159491428142287,-0.0443,0.1504,0.3105378924215157,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,W,intensity-model,52,-2,peak,375,7,0.0846,0.10172612962538813,299.7,0.1438128640352132,297.5,0.14530050468133296,-0.0114,0.1694,0.13697260547890422,0.26564384092878396,False,ns
0.25,native,0.0546,footprint,448,W,yoy,52,0,lag0,325,7,-0.0015,0.978906126250805,250.5,0.9815035598396125,236.4,0.9820357573075541,-0.1535,0.1469,0.9806038792241552,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,W,yoy,52,-8,peak,317,7,0.0367,0.5152877125988682,232.7,0.577771709494321,220.2,0.5883173022623213,-0.0759,0.1475,0.5706858628274345,0.6056755861942367,False,ns
0.25,native,0.0546,footprint,448,W,stl,52,0,lag0,377,7,-0.03,0.5613535724938863,297.3,0.6063345698779302,299.6,0.6048987724677235,-0.1446,0.0668,0.6286742651469706,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,W,stl,52,3,peak,374,7,-0.047,0.36496264376433646,295.0,0.4214913705046871,297.4,0.4196091534070808,-0.1566,0.0526,0.4491101779644071,0.5748610277944411,False,ns
0.25,native,0.0546,footprint,448,ME,level,12,0,lag0,90,4,-0.0379,0.7225949295321686,65.7,0.7629097220731362,61.2,0.7712399242151552,-0.3063,0.1668,0.7934413117376524,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,ME,level,12,-5,peak,85,4,-0.3038,0.004709976346553058,59.9,0.01840325455071885,56.9,0.02178898212301595,-0.5574,-0.0126,0.018196360727854428,0.1959608078384323,False,fragile (naive-only)
0.25,native,0.0546,footprint,448,ME,intensity-model,12,0,lag0,90,4,0.1238,0.2449931809746431,69.8,0.30787273872833654,64.9,0.32614006113349603,-0.126,0.2956,0.3619276144771046,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,ME,intensity-model,12,6,peak,84,4,0.2691,0.0133290052582885,65.3,0.02978419449993121,61.4,0.0353935252156888,-0.0889,0.5267,0.04599080183963208,0.1959608078384323,False,fragile (naive-only)
0.25,native,0.0546,footprint,448,ME,yoy,12,0,lag0,78,4,-0.004,0.9724274363561318,53.3,0.9773787813201028,50.9,0.9779142498520023,-0.4217,0.2977,0.9798040391921615,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,ME,yoy,12,-6,peak,72,4,-0.2656,0.024155505411455717,50.0,0.062407611379821315,47.2,0.07054055204238223,-0.6144,0.1505,0.07198560287942411,0.2193846944896735,False,fragile (naive-only)
0.25,native,0.0546,footprint,448,ME,stl,12,0,lag0,90,4,-0.0359,0.7369518457830971,73.5,0.7622800444466388,67.8,0.7716175033441793,-0.2864,0.1583,0.7954409118176364,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,ME,stl,12,-5,peak,85,4,-0.2855,0.0080771339793087,69.4,0.01707942664610267,64.1,0.022097727736879447,-0.5436,0.0126,0.014997000599880024,0.1959608078384323,False,fragile (naive-only)
0.25,0.1,0.1091,footprint,77,W,level,52,0,lag0,377,7,0.0072,0.8891739775139389,274.4,0.9054794827522407,282.1,0.904164030075983,-0.1118,0.1002,0.908618276344731,0.9961690201642212,False,ns
0.25,0.1,0.1091,footprint,77,W,level,52,-8,peak,369,7,-0.0474,0.36424580145597396,247.4,0.4583098485877171,262.2,0.445046587644945,-0.1726,0.0503,0.4363127374525095,0.5748610277944411,False,ns
0.25,0.1,0.1091,footprint,77,W,intensity-model,52,0,lag0,377,7,0.0677,0.18958762274778185,276.7,0.2616950106306033,286.8,0.2530278395475342,-0.0446,0.1562,0.2663467306538692,0.9961690201642212,False,ns
0.25,0.1,0.1091,footprint,77,W,intensity-model,52,1,peak,376,7,0.082,0.11239090977797603,276.0,0.17432144602435543,286.2,0.16648623762132517,-0.023,0.1703,0.1829634073185363,0.31647724509152225,False,ns
0.25,0.1,0.1091,footprint,77,W,yoy,52,0,lag0,325,7,-0.0133,0.8105818034297527,219.1,0.8442779426608612,228.0,0.8411662540745911,-0.1749,0.1424,0.826634673065387,0.9961690201642212,False,ns
