name,latitude,longitude,technology,status
Shougang Jingtang United Iron and Steel Co Ltd,38.953664,118.50339,BF; BOF,operating
Tangshan Wenfeng Special Steel Co Ltd,39.146541,118.432261,BF; BOF; EAF,operating
Tangshan Stainless Steel Co Ltd,39.160401,118.429806,BF; BOF,cancelled
Hebei Tangyin Iron and Steel Co Ltd Caofeidian base,39.160401,118.429806,BF; BOF,operating
Tangshan Delong Iron and Steel Co Ltd,39.19256,118.899533,BF; BOF,retired
Hebei Zongheng Group Fengnan Iron and Steel Co Ltd,39.222566,118.094201,BF; BOF,operating
Hbis Laoting Steel Co Ltd,39.257823,119.033567,BF; BOF; EAF,operating
Hebei Huaxi Special Steel Co Ltd,39.260784,119.005925,BF; BOF,operating
Tangshan Medium Thick Plate Co Ltd,39.268452,119.024819,BF; BOF,operating
Hebei Tianzhu Iron and Steel Group Co Ltd,39.270032,119.01376,BF; BOF,operating
Tangshan Guotang Steel Co Ltd,39.293147,119.046972,BF; BOF,operating
Tangshan Fengnan Kaiheng Iron and Steel Co Ltd,39.4632,118.247191,BF; BOF,retired
Tangshan Donghua Iron and Steel Enterprise Group Co Ltd,39.468366,118.256774,BF; BOF; EAF,operating
Tangshan Ruifeng Iron and Steel Group Co Ltd,39.497472,118.272056,BF; BOF,operating
Hebei Huaxi Iron and Steel Co Ltd,39.51833,118.715766,BF; BOF,retired
Tianjin Rongcheng Group Tangshan Special Steel Co Ltd,39.551552,118.137993,BF; BOF,retired
Tangshan Fengnan District Jing an Iron and Steel Co Ltd,39.600956,118.358726,BF; BOF,operating
Hebei Donghai Special Steel Co Ltd,39.610605,118.474722,BF; BOF,operating
Tangshan Iron and Steel Group Co Ltd,39.648587,118.212487,BF; BOF,retired
Tangshan Guoyi Special Type Iron and Steel Co Ltd,39.659153,118.411488,BF; BOF,retired
Tangshan Chunxing Special Steel Co Ltd,39.676326,118.427914,BF; BOF,operating pre-retirement
Hebei Tangyin Iron and Steel Co Ltd,39.699354,118.213188,BF; BOF,retired
Tangshan Jinma Steel Group Co Ltd,39.700499,118.456775,BF; BOF,retired
Tangshan Stainless Steel Co Ltd Guye District,39.730795,118.467608,BF; BOF,retired
Tangshan Donghai Iron and Steel Group Co Ltd,39.748373,118.624794,BF; BOF,operating
Hebei Tianzhu Iron and Steel Group Co Ltd Fengrun Plant,39.803524,118.205663,BF; BOF,retired
Tangshan Xinglong Iron and Steel Co Ltd,39.847612,118.348448,EAF; BOF; BF,operating
Tangshan Xinbaotai Iron and Steel Co Ltd,39.861425,118.03667,BF; BOF,retired
Hebei Rongxin Steel Co Ltd,39.880661,118.558755,BF; BOF,operating
Hebei Xinda Iron and Steel Group Co Ltd,39.898362,118.579364,BF; BOF,operating
Hebei Yanshan Iron and Steel Group Co Ltd,39.925508,118.672757,BF; BOF; EAF,operating
Hebei Jingdong Pipe Industry Co Ltd,39.932656,118.836844,BF; EAF,operating
Tangshan Songting Iron and Steel Co Ltd,39.938866,118.576678,BF; BOF,operating
Qian an Jiujiang Wire Co Ltd,39.952209,118.559444,BF; BOF; EAF,operating
Shougang Qian an Iron and Steel Co Ltd,39.976702,118.558788,BF; BOF; EAF,operating
Qian an Zhayi Steel Group Co Ltd,40.044026,118.552001,EAF; BF; BOF,operating
Tangshan Jianlong Special Steel Co Ltd,40.167686,117.964004,BF; BOF,retired
Tangshan Ganglu Iron and Steel Co Ltd,40.183913,118.073913,BF; BOF,operating
Hebei Jinxi Iron and Steel Group Co Ltd,40.209844,118.220547,BF; BOF,operating
