freq,meteo,deseason,n,r,p,peak_lag,peak_r
weekly,False,none,377,-0.195,0.000135,4,-0.265
weekly,False,yoy,325,0.108,0.0514,-8,0.133
weekly,False,stl,377,-0.006,0.914,4,-0.048
weekly,False,yoy-double-diff,322,0.005,0.928,-8,0.036
weekly,True,none,377,-0.208,4.51e-05,4,-0.283
weekly,True,yoy,325,0.107,0.0536,-8,0.127
weekly,True,stl,377,-0.003,0.948,4,-0.052
weekly,True,yoy-double-diff,322,0.004,0.939,8,-0.036
monthly,False,none,90,-0.351,0.000703,-6,-0.497
monthly,False,yoy,78,0.19,0.0951,6,0.287
monthly,False,stl,90,0.133,0.211,6,0.201
monthly,False,yoy-double-diff,77,0.036,0.755,-4,-0.113
monthly,True,none,90,-0.355,0.000586,-6,-0.495
monthly,True,yoy,78,0.189,0.0982,6,0.288
monthly,True,stl,90,0.152,0.154,6,0.225
monthly,True,yoy-double-diff,77,0.033,0.773,-4,-0.113
